URL;LOKALIZACJA;NAGŁOWEK;CENA;CENA_M2;POWIERZCHNIA;POKOJE;PIĘTRO;RYNEK;RODZAJ_BUDYNKU;MATERIAŁ;OKNA;OGRZEWANIE;ROK_BUDOWY;STAN_WYKOŃCZENIA;CZYNSZ;FORMA_WŁASNOŚCI;MEDIA;ZABEZPIECZENIA;WYPOSAŻENIE;INFO_DODATKOWE;DZIELNICA;DOSTEPNE_OD
https://www.otodom.pl/oferta/4-pokoje-przedsprzedaz-mieszkan-0-pcc-naramowice-ID3xVsX.html#af876b5410;Poznań, Naramowice,  Karpia;4 pokoje, PRZEDSPRZEDAŻ mieszkań, 0%PCC,Naramowice;311696.0;5566.0;56.0;4;2;pierwotny;blok;cegła;plastikowe;miejskie;2019 ;do wykończenia;;pełna własność;;['drzwi / okna antywłamaniowe', 'domofon / wideofon'];;['balkon', 'garaż/miejsce parkingowe'];Naramowice;30 Kwietnia 2019
https://www.otodom.pl/oferta/poznan-polanka-katowicka-2-pokoje-i-pietro-ataner-ID3ywGb.html#af876b5410;Poznań, Malta,  Katowicka;Poznań Polanka Katowicka 2 pokoje I piętro Ataner;299000.0;7667.0;39.0;2;1;wtórny;;cegła;plastikowe;miejskie;2007 ;do zamieszkania;290.0;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona', 'rolety antywłamaniowe'];['lodówka', 'meble', 'piekarnik', 'kuchenka', 'telewizor', 'pralka'];['balkon', 'winda'];;
https://www.otodom.pl/oferta/mieszkanie-95-m-poznan-ID3ywFR.html#af876b5410;Poznań, Katowicka os. Polanka Ataner;Mieszkanie, 95 m², Poznań;569000.0;5989.0;95.0;4;;wtórny;apartamentowiec;cegła;plastikowe;inne;2006 ;do zamieszkania;;pełna własność;;['monitoring / ochrona'];;['klimatyzacja', 'balkon', 'garaż/miejsce parkingowe', 'winda'];;
https://www.otodom.pl/oferta/mieszkanie-w-apartamentowcu-centrum-ID3ywsH.html#af876b5410;Poznań, Centrum;Mieszkanie w Apartamentowcu! CENTRUM!;445000.0;6742.0;66.0;3;4;wtórny;apartamentowiec;cegła;plastikowe;miejskie;2010 ;do zamieszkania;;pełna własność;['telewizja kablowa', 'internet'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona'];['piekarnik', 'kuchenka'];['balkon', 'garaż/miejsce parkingowe', 'winda', 'oddzielna kuchnia'];;
https://www.otodom.pl/oferta/mieszkanie-sprzedaz-2-pokoje-poznan-grunwald-ID3vwB9.html#af876b5410;Poznań, Grunwald, Adama Logi;Mieszkanie sprzedaż, 2 pokoje, Poznań, Grunwald;294500.0;6693.0;44.0;2;1;pierwotny;apartamentowiec;cegła;aluminiowe;gazowe;2018 ;do wykończenia;;pełna własność;['internet', 'telefon'];['drzwi / okna antywłamaniowe', 'teren zamknięty', 'domofon / wideofon', 'monitoring / ochrona'];;['balkon', 'garaż/miejsce parkingowe'];Grunwald;1 Maja 2018
https://www.otodom.pl/oferta/mieszkanie-2-pokoje-atrakcyjna-lokalizacja-ID3xmTB.html#af876b5410;Poznań, Piątkowo,  Bolesława Chrobrego;Mieszkanie 2 pokoje atrakcyjna lokalizacja;289000.0;6175.0;46.8;2;9;wtórny;blok;wielka płyta;plastikowe;miejskie;;do zamieszkania;540.0;pełna własność;;['drzwi / okna antywłamaniowe', 'domofon / wideofon'];['meble'];['balkon', 'piwnica', 'winda', 'oddzielna kuchnia'];Piątkowo;30 Kwietnia 2018
https://www.otodom.pl/oferta/mieszkanie-71-25-m-poznan-ID3vTrl.html#af876b5410;Poznań, Jeżyce, Kościelna;Mieszkanie, 71,25 m², Poznań;695000.0;9754.0;71.25;3;2;wtórny;apartamentowiec;;plastikowe;miejskie;2010 ;do zamieszkania;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];['monitoring / ochrona'];;['winda'];Jeżyce;
https://www.otodom.pl/oferta/3-pokoje-w-ukladzie-niezaleznym-ID3xRll.html#af876b5410;Poznań,  Stefana Batorego;3 - pokoje w układzie niezależnym!;330000.0;5366.0;61.5;3;2;wtórny;blok;wielka płyta;plastikowe;miejskie;1990 ;do remontu;;pełna własność;['telewizja kablowa', 'internet', 'telefon'];;;['balkon', 'piwnica', 'oddzielna kuchnia'];;
https://www.otodom.pl/oferta/polecam-3-pokoje-na-ratajach-ID3xRo7.html#af876b5410;Poznań, Rataje,  Czecha;Polecam 3 pokoje na Ratajach;290000.0;5441.0;53.3;3;3;wtórny;blok;wielka płyta;plastikowe;miejskie;1980 ;do remontu;;spółdzielcze wł. z KW;['telewizja kablowa', 'internet', 'telefon'];;;['balkon', 'piwnica'];Rataje;
https://www.otodom.pl/oferta/polecam-na-sprzedaz-4-pokoje-na-grunwaldzie-ID3vTlt.html#af876b5410;Poznań, Grunwald, Rynarzewska;Polecam na sprzedaż 4 pokoje na Grunwaldzie!;369000.0;5490.0;67.21;4;3;wtórny;blok;cegła;plastikowe;miejskie;1975 ;do zamieszkania;;spółdzielcze własnościowe;['telewizja kablowa', 'internet', 'telefon'];;;['balkon'];Grunwald;
https://www.otodom.pl/oferta/mieszkanko-na-grunwaldzie-ul-ognik-na-parterze-ID3ysET.html#af876b5410;Poznań, Grunwald,  Ognik;Mieszkanko na Grunwaldzie - ul. Ognik na parterze;250000.0;6579.0;38.0;2;;wtórny;blok;cegła;plastikowe;miejskie;;do zamieszkania;356.0;spółdzielcze własnościowe;;['domofon / wideofon'];['lodówka', 'meble', 'piekarnik', 'kuchenka'];['piwnica', 'oddzielna kuchnia'];Grunwald;17 Lutego 2018
https://www.otodom.pl/oferta/mieszkanie-66-10-m-poznan-ID3ywcf.html#af876b5410;Poznań, Centrum, Kantaka;Mieszkanie, 66,10 m², Poznań;329000.0;4977.0;66.1;2;1;wtórny;;cegła;;;;do zamieszkania;390.0;pełna własność;;;;['balkon', 'piwnica', 'oddzielna kuchnia'];;
